Rank,Country,Quality of Life Index,Properties,Value,Continent
63,Thailand,57.21,Cost of Living Index,43.71,Asia
63,Thailand,57.21,Property Price to Income Ratio,24.43,Asia
63,Thailand,57.21,Traffic Commute Time Index,43.56,Asia
63,Thailand,57.21,Pollution Index,73.23,Asia
63,Thailand,57.21,Climate Index,20.21,Asia
64,Philippines,56.87,Purchasing Power Index,36,Asia
64,Philippines,56.87,Safety Index,60.23,Asia
64,Philippines,56.87,Health Care Index,69.16,Asia
64,Philippines,56.87,Cost of Living Index,34.71,Asia
64,Philippines,56.87,Property Price to Income Ratio,16.91,Asia
64,Philippines,56.87,Traffic Commute Time Index,45.14,Asia
64,Philippines,56.87,Pollution Index,70.25,Asia
64,Philippines,56.87,Climate Index,44.1,Asia
65,Malaysia,51.65,Purchasing Power Index,73.34,Asia
65,Malaysia,51.65,Safety Index,35.25,Asia
65,Malaysia,51.65,Health Care Index,65.99,Asia
65,Malaysia,51.65,Cost of Living Index,40.24,Asia
65,Malaysia,51.65,Property Price to Income Ratio,9.53,Asia
65,Malaysia,51.65,Traffic Commute Time Index,39.4,Asia
65,Malaysia,51.65,Pollution Index,67.08,Asia
65,Malaysia,51.65,Climate Index,79.43,Asia
66,Vietnam,36.12,Purchasing Power Index,24.77,Asia
66,Vietnam,36.12,Safety Index,47.04,Asia
66,Vietnam,36.12,Health Care Index,47.87,Asia
66,Vietnam,36.12,Cost of Living Index,40.11,Asia
66,Vietnam,36.12,Property Price to Income Ratio,26.76,Asia
66,Vietnam,36.12,Traffic Commute Time Index,33,Asia
66,Vietnam,36.12,Pollution Index,88.1,Asia
66,Vietnam,36.12,Climate Index,12.87,Asia
